# ----------------------------------------
# Firebase overview
# Account: ihafidh
# Property: ihafidh-c0b1a
# ----------------------------------------
# How are active users trending?
# Start date: 20260306
# End date: 20260402
Nth day,30 days,7 days,1 day
0000,644,213,51
0001,647,214,45
0002,654,219,58
0003,652,211,37
0004,650,189,34
0005,648,185,53
0006,644,180,44
0007,645,180,45
0008,648,185,52
0009,652,176,53
0010,646,181,57
0011,644,196,54
0012,638,194,41
0013,636,196,44
0014,623,192,31
0015,605,192,35
0016,590,183,31
0017,580,172,34
0018,570,169,38
0019,565,165,28
0020,553,156,28
0021,543,160,34
0022,528,147,22
0023,519,149,34
0024,514,154,35
0025,510,144,32
0026,514,147,37
0027,510,153,37

#  
# Start date: 20260306
# End date: 20260402
Nth day,2.0.8,2.0.7,2.0.3
0000,50,1,0
0001,43,1,1
0002,53,3,2
0003,35,1,1
0004,32,2,0
0005,48,5,0
0006,43,1,0
0007,44,1,0
0008,51,1,0
0009,51,2,0
0010,57,0,0
0011,49,5,0
0012,41,0,0
0013,42,1,1
0014,31,0,0
0015,33,2,0
0016,30,1,0
0017,31,2,1
0018,37,0,1
0019,28,0,0
0020,28,0,0
0021,33,1,0
0022,22,0,0
0023,32,2,0
0024,35,0,0
0025,32,1,0
0026,35,0,2
0027,37,0,1

#  
# Start date: 20260306
# End date: 20260402
App,Version,Status
13083561325,2.0.8,Successful
13083616722,2.0.8,Successful

#  
# Start date: 20260402
# End date: 20260402
App,Crash-free users
13083561325,1
13083616722,1

# Start date: 20260401
# End date: 20260401
App,Crash-free users
13083561325,1
13083616722,1

#  
# Start date: 20260306
# End date: 20260402
Nth day,Average engagement time per active user
0000,614.9215686274509
0001,817.8222222222222
0002,1036.2241379310344
0003,944.918918918919
0004,1029.3823529411766
0005,586.2075471698113
0006,767.8863636363636
0007,821.8444444444444
0008,726.0769230769231
0009,873.622641509434
0010,872.7368421052631
0011,792.9629629629629
0012,717
0013,568.1590909090909
0014,466.6774193548387
0015,268.0857142857143
0016,402.96774193548384
0017,451.52941176470586
0018,540
0019,430.2857142857143
0020,482.4642857142857
0021,360.8235294117647
0022,3085
0023,1294.4117647058824
0024,2624.8571428571427
0025,2751.125
0026,2364.6216216216217
0027,1097.4594594594594

# Start date: 20260306
# End date: 20260402
Nth day,Engaged sessions per active user
0000,1.2941176470588236
0001,1.3777777777777778
0002,1.4482758620689655
0003,1.2972972972972974
0004,1.411764705882353
0005,1.2452830188679245
0006,1.4772727272727273
0007,1.511111111111111
0008,1.4423076923076923
0009,1.3584905660377358
0010,1.3333333333333333
0011,1.462962962962963
0012,1.5609756097560976
0013,1.5909090909090908
0014,1.4516129032258065
0015,0.9428571428571428
0016,0.8709677419354839
0017,1.088235294117647
0018,0.9210526315789473
0019,1.1071428571428572
0020,1.1071428571428572
0021,1
0022,1.0909090909090908
0023,1.0588235294117647
0024,0.9428571428571428
0025,1
0026,0.7837837837837838
0027,1.0810810810810811

# Start date: 20260306
# End date: 20260402
Nth day,Average engagement time per session
0000,352.3707865168539
0001,490.6933333333333
0002,626.0520833333334
0003,624.3214285714286
0004,648.1296296296297
0005,383.5679012345679
0006,412.0365853658537
0007,430.0348837209302
0008,433.97701149425285
0009,492.5744680851064
0010,523.6421052631579
0011,436.9387755102041
0012,386.80263157894734
0013,301.1927710843373
0014,237.1639344262295
0015,218.2093023255814
0016,328.7368421052632
0017,333.7391304347826
0018,446.0869565217391
0019,273.8181818181818
0020,346.38461538461536
0021,272.6222222222222
0022,2262.3333333333335
0023,936.3829787234042
0024,2087.9545454545455
0025,2200.9
0026,1861.5106382978724
0027,812.12

#  
# Start date: 20260220
# End date: 20260402
Cohort,Active users
0000,1
0001,0.164021164021164
0002,0.10695187165775401
0003,0.08991825613079019
0004,0.08287292817679558
0005,0.07563025210084033
0006,0.05965909090909091
0007,0.06321839080459771
0008,0.046511627906976744
0009,0.04437869822485207
0010,0.04242424242424243
0011,0.02821316614420063
0012,0.05161290322580645
0013,0.01639344262295082
0014,0.037800687285223365
0015,0.041666666666666664
0016,0.043478260869565216
0017,0.04119850187265917
0018,0.03125
0019,0.024193548387096774
0020,0.03765690376569038
0021,0.034934497816593885
0022,0.03153153153153153
0023,0.009259259259259259
0024,0.03317535545023697
0025,0.024271844660194174
0026,0.015228426395939087
0027,0.04838709677419355
0028,0.03389830508474576
0029,0.023391812865497075
0030,0
0031,0.0379746835443038
0032,0.019867549668874173
0033,0.02097902097902098
0034,0.014925373134328358
